game_id,title,issue_count,issues
1,ELDEN RING NIGHTREIGN,0,
2,Rust,2,categories: not sorted alphabetically; genres: not sorted alphabetically
4,HELLDIVERS 2,0,
5,Tom Clancy's Rainbow Six Siege,1,categories: not sorted alphabetically
6,Dead by Daylight,2,categories: not sorted alphabetically; genres: not sorted alphabetically
8,Grand Theft Auto V Enhanced,0,
9,DayZ,2,categories: not sorted alphabetically; genres: not sorted alphabetically
10,Warframe,2,categories: not sorted alphabetically; genres: not sorted alphabetically
11,R.E.P.O.,2,categories: not sorted alphabetically; genres: not sorted alphabetically
12,Don't Starve Together,2,categories: not sorted alphabetically; genres: not sorted alphabetically
13,PAYDAY 2,0,
14,Left 4 Dead 2,2,categories: not sorted alphabetically; genres: not sorted alphabetically
15,Destiny 2,0,
16,Terraria,2,categories: not sorted alphabetically; genres: not sorted alphabetically
17,Project Zomboid,2,categories: not sorted alphabetically; genres: not sorted alphabetically
18,ARK: Survival Evolved,2,categories: not sorted alphabetically; genres: not sorted alphabetically
19,Rocket League,2,categories: not sorted alphabetically; genres: not sorted alphabetically
20,Garry's Mod,2,categories: not sorted alphabetically; genres: not sorted alphabetically
21,Palworld,2,categories: not sorted alphabetically; genres: not sorted alphabetically
22,7 Days to Die,2,categories: not sorted alphabetically; genres: not sorted alphabetically
23,Total War: WARHAMMER III,2,categories: not sorted alphabetically; genres: not sorted alphabetically
24,Factorio,1,categories: not sorted alphabetically
25,The Binding of Isaac: Rebirth,2,categories: not sorted alphabetically; genres: not sorted alphabetically
26,Valheim,2,categories: not sorted alphabetically; genres: not sorted alphabetically
27,Black Desert,2,categories: not sorted alphabetically; genres: not sorted alphabetically
28,Brawlhalla,1,categories: not sorted alphabetically
29,Age of Empires II: Definitive Edition,2,categories: not sorted alphabetically; genres: not sorted alphabetically
30,Satisfactory,2,categories: not sorted alphabetically; genres: not sorted alphabetically
31,Monster Hunter Wilds,0,
32,Monster Hunter: World,0,
33,V Rising,2,categories: not sorted alphabetically; genres: not sorted alphabetically
34,Phasmophobia,2,categories: not sorted alphabetically; genres: not sorted alphabetically
36,Squad,0,
37,Diablo IV,2,categories: not sorted alphabetically; genres: not sorted alphabetically
38,Fallout 76,2,categories: not sorted alphabetically; genres: not sorted alphabetically
39,Borderlands 2,0,
40,Risk of Rain 2,0,
41,Gray Zone Warfare,0,
42,Bloons TD 6,2,categories: not sorted alphabetically; genres: not sorted alphabetically
43,The Planet Crafter,2,categories: not sorted alphabetically; genres: not sorted alphabetically
44,"Warhammer 40,000: Darktide",0,
